Date,Close
8/8/2011,TRUE
8/9/2011,TRUE
8/10/2011,TRUE
8/11/2011,TRUE
8/12/2011,TRUE
8/15/2011,TRUE
8/16/2011,TRUE
8/17/2011,TRUE
8/18/2011,TRUE
8/19/2011,TRUE
8/22/2011,TRUE
8/23/2011,TRUE
8/24/2011,TRUE
8/25/2011,TRUE
8/26/2011,TRUE
8/29/2011,TRUE
8/30/2011,TRUE
8/31/2011,TRUE
9/1/2011,TRUE
9/2/2011,TRUE
9/6/2011,TRUE
9/7/2011,TRUE
9/8/2011,TRUE
9/9/2011,TRUE
9/12/2011,TRUE
9/13/2011,TRUE
9/14/2011,TRUE
9/15/2011,TRUE
9/16/2011,TRUE
9/19/2011,TRUE
9/20/2011,TRUE
9/21/2011,TRUE
9/22/2011,TRUE
9/23/2011,TRUE
9/26/2011,TRUE
9/27/2011,TRUE
9/28/2011,TRUE
9/29/2011,TRUE
9/30/2011,TRUE
10/3/2011,TRUE
10/4/2011,TRUE
10/5/2011,TRUE
10/6/2011,TRUE
10/7/2011,TRUE
10/10/2011,TRUE
10/11/2011,TRUE
10/12/2011,TRUE
10/13/2011,TRUE
10/14/2011,TRUE
10/17/2011,TRUE
10/18/2011,TRUE
10/19/2011,TRUE
10/20/2011,TRUE
10/21/2011,TRUE
10/24/2011,TRUE
10/25/2011,TRUE
10/26/2011,TRUE
10/27/2011,TRUE
10/28/2011,TRUE
10/31/2011,TRUE
11/1/2011,TRUE
11/2/2011,TRUE
11/3/2011,TRUE
11/4/2011,TRUE
11/7/2011,TRUE
11/8/2011,TRUE
11/9/2011,TRUE
11/10/2011,TRUE
11/11/2011,TRUE
11/14/2011,TRUE
11/15/2011,TRUE
11/16/2011,TRUE
11/17/2011,TRUE
11/18/2011,TRUE
11/21/2011,TRUE
11/22/2011,TRUE
11/23/2011,FALSE
11/25/2011,TRUE
11/28/2011,TRUE
11/29/2011,FALSE
11/30/2011,FALSE
12/1/2011,FALSE
12/2/2011,FALSE
12/5/2011,FALSE
12/6/2011,FALSE
12/7/2011,FALSE
12/8/2011,FALSE
12/9/2011,FALSE
12/12/2011,FALSE
12/13/2011,FALSE
12/14/2011,FALSE
12/15/2011,FALSE
12/16/2011,FALSE
12/19/2011,FALSE
12/20/2011,FALSE
12/21/2011,FALSE
12/22/2011,FALSE
12/23/2011,FALSE
12/27/2011,FALSE
12/28/2011,FALSE
12/29/2011,FALSE
12/30/2011,FALSE
1/3/2012,FALSE
1/4/2012,FALSE
1/5/2012,FALSE
1/6/2012,FALSE
1/9/2012,FALSE
1/10/2012,FALSE
1/11/2012,FALSE
1/12/2012,FALSE
1/13/2012,FALSE
1/17/2012,FALSE
1/18/2012,FALSE
1/19/2012,FALSE
1/20/2012,FALSE
1/23/2012,FALSE
1/24/2012,FALSE
1/25/2012,FALSE
1/26/2012,FALSE
1/27/2012,FALSE
1/30/2012,FALSE
1/31/2012,FALSE
2/1/2012,FALSE
2/2/2012,FALSE
2/3/2012,FALSE
2/6/2012,FALSE
2/7/2012,FALSE
2/8/2012,FALSE
2/9/2012,FALSE
2/10/2012,FALSE
2/13/2012,FALSE
2/14/2012,FALSE
2/15/2012,FALSE
2/16/2012,TRUE
2/17/2012,FALSE
2/21/2012,FALSE
2/22/2012,FALSE
2/23/2012,FALSE
2/24/2012,FALSE
2/27/2012,FALSE
2/28/2012,FALSE
2/29/2012,FALSE
3/1/2012,FALSE
3/2/2012,FALSE
3/5/2012,FALSE
3/6/2012,FALSE
3/7/2012,FALSE
3/8/2012,FALSE
3/9/2012,FALSE
3/12/2012,FALSE
3/13/2012,FALSE
3/14/2012,FALSE
3/15/2012,FALSE
3/16/2012,FALSE
3/19/2012,FALSE
3/20/2012,FALSE
3/21/2012,FALSE
3/22/2012,FALSE
3/23/2012,FALSE
3/26/2012,FALSE
3/27/2012,FALSE
3/28/2012,FALSE
3/29/2012,FALSE
3/30/2012,FALSE
4/2/2012,FALSE
4/3/2012,FALSE
4/4/2012,FALSE
4/5/2012,FALSE
4/9/2012,FALSE
4/10/2012,FALSE
4/11/2012,FALSE
4/12/2012,FALSE
4/13/2012,FALSE
4/16/2012,FALSE
4/17/2012,FALSE
4/18/2012,FALSE
4/19/2012,FALSE
4/20/2012,FALSE
4/23/2012,FALSE
4/24/2012,FALSE
4/25/2012,FALSE
4/26/2012,FALSE
4/27/2012,FALSE
4/30/2012,FALSE
5/1/2012,FALSE
5/2/2012,FALSE
5/3/2012,FALSE
5/4/2012,FALSE
5/7/2012,FALSE
5/8/2012,FALSE
5/9/2012,FALSE
5/10/2012,FALSE
5/11/2012,FALSE
5/14/2012,FALSE
5/15/2012,FALSE
5/16/2012,FALSE
5/17/2012,FALSE
5/18/2012,TRUE
5/21/2012,TRUE
5/22/2012,FALSE
5/23/2012,FALSE
5/24/2012,FALSE
5/25/2012,FALSE
5/29/2012,FALSE
5/30/2012,FALSE
5/31/2012,FALSE
6/1/2012,FALSE
6/4/2012,FALSE
6/5/2012,FALSE
6/6/2012,FALSE
6/7/2012,FALSE
6/8/2012,FALSE
6/11/2012,FALSE
6/12/2012,FALSE
6/13/2012,FALSE
6/14/2012,FALSE
6/15/2012,FALSE
6/18/2012,FALSE
6/19/2012,FALSE
6/20/2012,FALSE
6/21/2012,FALSE
6/22/2012,FALSE
6/25/2012,FALSE
6/26/2012,FALSE
6/27/2012,FALSE
6/28/2012,FALSE
6/29/2012,FALSE
7/2/2012,FALSE
7/3/2012,FALSE
7/5/2012,FALSE
7/6/2012,FALSE
7/9/2012,FALSE
7/10/2012,FALSE
7/11/2012,FALSE
7/12/2012,FALSE
7/13/2012,FALSE
7/16/2012,FALSE
7/17/2012,FALSE
7/18/2012,FALSE
7/19/2012,FALSE
7/20/2012,FALSE
7/23/2012,FALSE
